E,N,Q,b,c,failures,independent_board,inst_reputations,num_trials,output,permitted_strategies,q,rep,reputation_norm,reputations,run_type,runs_per_trial,seed1,seed2,seed3,seed4,successes,u_a,u_p,u_s,w
0.0,50,50,5.0,1.0,100,true,0.9854,10,output/fixation_paper_multitype_final.csv,123,0.1,10,stern judging,0.4992840000000001,AllD,100,1569131151,1818862117,2350150913,250941556,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,96,true,0.9623999999999998,10,output/fixation_paper_multitype_final.csv,123,0.1,7,stern judging,0.5014280000000001,AllC,100,2770752872,3107064049,3033966239,3494993234,4,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,98,true,0.7444,10,output/fixation_paper_multitype_final.csv,123,0.1,8,stern judging,0.5076559999999999,Disc,100,399641176,557968366,3773737824,3917458191,2,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,100,false,0.5076,10,output/fixation_paper_multitype_final.csv,123,0.1,5,stern judging,0.5023240000000001,equal,100,3838909624,564176415,3404334542,3104513964,0,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,100,false,0.5018,10,output/fixation_paper_multitype_final.csv,123,0.1,1,stern judging,0.5033040000000001,equal,100,3980614795,437318025,8057705,1281548053,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,0.9616,10,output/fixation_paper_multitype_final.csv,123,0.1,3,stern judging,0.5108800000000001,Disc,100,2336006514,3752603071,2529599412,1996639270,0,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,100,false,0.5062000000000001,10,output/fixation_paper_multitype_final.csv,123,0.1,7,stern judging,0.502068,equal,100,2318692008,4249821368,2023146472,1954785734,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,false,0.7609999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,4,stern judging,0.505272,equal,100,467487861,1064087524,2404373149,4052207910,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,false,0.7563999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,1,stern judging,0.503648,equal,100,406340876,3346694229,2043245436,1876482308,0,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,100,false,0.4925999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,2,stern judging,0.5020479999999999,equal,100,3130660469,323596522,3065684426,1347038019,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,0.9621999999999998,10,output/fixation_paper_multitype_final.csv,123,0.1,7,stern judging,0.5071,Disc,100,3406062389,2205022310,3277963616,1507691381,0,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,99,false,0.49339999999999995,10,output/fixation_paper_multitype_final.csv,123,0.1,6,stern judging,0.503924,equal,100,2821442250,4195959136,4242954019,518784204,1,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,100,false,0.4917999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,9,stern judging,0.504572,equal,100,770372699,2091145227,3971252322,580848821,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,false,0.747,10,output/fixation_paper_multitype_final.csv,123,0.1,2,stern judging,0.502484,equal,100,3413588362,3410276037,988999357,1092160006,0,0.02,0.02,0.0,1.0
